Document Title,Authors,Publication Title,Date Added To Xplore,Publication Year,Abstract,IEEE Terms,PDF Link,Document Identifier,Medical,Disease,Modality,Model,Explainibility,Local/Global
A Comprehensive Multimodal Analysis for Detecting Pulmonary Infiltrates in Chest X-Ray Image,U. Sakthi; K. V. Vaishnave; A. Krishnan A M,2024 Third International Conference on Distributed Computing and Electrical Circuits and Electronics (ICDCECE),12-Jun-24,2024,"This research paper delves into the critical task of detecting pulmonary infiltrates indicative of pneumonia in Chest X-ray images through a comprehensive multimodal analysis. This study focuses on evaluating the performance of a diverse set of models on Chest X-ray datasets, offering a comparative analysis and contribute meaningfully to pneumonia detection advancement through leveraging cutting-edge models, it's essential to scrutinize the strengths and limitations of each model. By employing rigorous evaluation criteria, we can discern which models offer the most promise in terms of accuracy, efficiency, scalability, and interpretability. The dataset used for experimentation encompasses a broad spectrum of chest X-ray images, ensuring a representative sample that captures the nuances of real-world clinical scenarios. The proposed multimodal analysis considers not only the visual features present in the X-ray images but also incorporates textual and contextual information. This holistic approach aims to enhance the overall diagnostic accuracy by leveraging complementary modalities. The results obtained from the experiments shed light on the strengths and weaknesses of the selected models, paving the way for informed decisions in deploying pneumonia detection systems. This research contributes to the evolving landscape of medical image analysis by presenting a comprehensive multimodal approach for detecting pulmonary infiltrates in Chest X-ray images. The comparative study not only aids in identifying optimal models for pneumonia detection but also highlights the potential for improved diagnostic accuracy.",Analytical models;Visualization;Pneumonia;Image analysis;Computational modeling;Lung;Transformers,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10549653,IEEE Conferences,,,,,,
An Extensive Examination of Methods for Detecting and Classifying Malignant and Benign Skin Cancers Using Deep Learning Techniques,R. Pasumarthy; L. Gondi,2024 Third International Conference on Distributed Computing and Electrical Circuits and Electronics (ICDCECE),12-Jun-24,2024,"Skin cancer is a pressing health concern responsible for numerous fatalities in today's world, often diagnosed in its advanced stages, making treatment planning and patient survival challenging. Medical image interpretation, such as MRI as well as CT scans, is crucial for skin cancer diagnosis, but the manual analysis is costly, time-consuming, and can be influenced by biases. DL (Deep learning), a cutting-edge technology, is gaining attention as it allows for the automatic evaluation and interpretation of medical images, reducing the need for human intervention. Deep learning approaches have demonstrated remarkable outcomes in various domains by automatically extracting intrinsic image features, excluding the need for manual feature extraction. This review delves into the application of DL approaches in the diagnosis & detection of cancer, with a particular focus on skin cancer. Detecting melanoma from samples of dermoscopic skin is a formidable task, but employing a machine vision tool, like a deep learning approach, can address some of these challenges. The study introduces an automated melanoma classifier on the basis of DCNN (Deep Convolutional Neural Network) to accurately differentiate malignant from benign melanoma. It also outlines the various deep learning models and steps involved in utilizing these models for skin cancer detection. Recent advancements in the skin cancer detection Deep Learning (DL) methods are explored and summarized, shedding light on the critical challenges that have been faced in accurately detecting the cancer of skin in its early stages. For this research, dermoscopic images from the International Skin Imaging Collaboration datastores (ISIC 2016, ISIC 2017, and ISIC 2020), containing diverse cancer samples, were obtained and evaluated based on metrics like precision, accuracy, specificity, recall, and F1-score.",Deep learning;Image segmentation;Melanoma;Object segmentation;Manuals;Feature extraction;Skin,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10548394,IEEE Conferences,,,,,,
Hybrid Deep Learning Based GRU Model for Classifying the Lung Cancer from CT Scan Images,R. R. Gondkar; S. R. Gondkar; K. S; S. Balan R V,2024 Third International Conference on Distributed Computing and Electrical Circuits and Electronics (ICDCECE),12-Jun-24,2024,"Lung cancer is a potentially fatal condition, posing significant challenges for early detection and treatment within the healthcare domain. Despite extensive efforts, the etiology and cure of cancer remain elusive. However, early detection offers hope for effective treatment. This study explores the application of image processing techniques, including noise reduction, feature extraction, and identification of cancerous regions within the lung, augmented by patient medical history data. Leveraging machine learning and image processing, this research presents a methodology for precise lung cancer categorization and prognosis. While computed tomography (CT) scans are a cornerstone of medical imaging, diagnosing cancer solely through CT scans remains challenging even for seasoned medical professionals. The emergence of computer-assisted diagnostics has revolutionized cancer detection and diagnosis. This study utilizes lung images from the Lung Image Database Consortium (LIDC-IDRI) and evaluates various image preprocessing filters such as median, Gaussian, Wiener, Otsu, and rough body area filters. Subsequently, feature extraction employs the Karhunen-Loeve (KL) methodology, followed by lung tumor classification using a hybrid model comprising a One-Dimensional Convolutional Neural Network (1D-CNN) and a Gated Recurrent Unit (GRU). Experimental findings demonstrate that the proposed model achieves a sensitivity of 99.14%, specificity of 90.00%, F -measure of 95.24%, and accuracy of 95%.",Deep learning;Solid modeling;Filters;Computed tomography;Lung cancer;Lung;Feature extraction,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10548266,IEEE Conferences,,,,,,
Automated Brain Tumor Detection and Classification Using Convolutional Neural Networks,M. Nagraju; M. Asritha Sai; K. Vamsi; N. Dhanush; K. U. Kiran,2024 Third International Conference on Distributed Computing and Electrical Circuits and Electronics (ICDCECE),12-Jun-24,2024,"Manual inspection is a commonly used method for diagnosing brain tumors. However, it is known to be time-consuming and subjective, which can be a drawback of this approach. This solution aims to address the problem at hand by presenting a research-backed approach that suggests an automated method for diagnosing and classifying brain cancer. The proposed method relies on convolutional neural networks (CNN) to achieve accurate results. In this approach, convolutional neural networks (CNNs) are used for preprocessing, classification, and feature extraction. Improved data quality is achieved through the use of high-resolution brain MRI images from multiple datasets, along with the implementation of state-of-the-art image preprocessing techniques. The CNN architecture has been meticulously designed to improve sensitivity and adaptability by incorporating an attention mechanism and multi-scale feature fusion. The proposed method achieves an impressive accuracy rate of 99.76% in identifying and classifying brain tumors, surpassing the accuracy of traditional human review procedures. Based on the research conducted, it has been discovered that the implementation of automated neuroimaging diagnostics has the potential to greatly enhance the accuracy and efficiency of brain cancer diagnosis. With an accuracy rate of 99.76%, the proposed method outperforms traditional human review procedures in identifying and classifying brain cancers.",Neuroimaging;Sensitivity;Reviews;Magnetic resonance imaging;Brain cancer;Manuals;Feature extraction,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10548635,IEEE Conferences,,,,,,
Enhancing Acute Lymphoblastic Leukemia Classification with a Rapid and Effective CNN Model,J. R. Devi; P. S. Kadiyala; S. Lavu; N. Kasturi; L. Kosuri,2024 Third International Conference on Distributed Computing and Electrical Circuits and Electronics (ICDCECE),12-Jun-24,2024,"Leukemias are malignant disorders of the hematopoietic stem cell compartment, characteristically associated with increased numbers of white cells in the bone marrow and/or peripheral blood. The course of leukemia may vary from a few days or weeks to many years, depending on the type (i.e., acute and chronic), which can be further classified into Acute lymphoblastic leukemia (ALL), Acute myeloid leukemia (AML), Chronic lymphocytic leukemia (CLL) and Chronic myeloid leukemia (CML). Given the high prevalence of ALL, a definite diagnosis necessitates intrusive, costly, and time-consuming tests. The nonspecific nature of the signs and symptoms associated with ALL often leads to misdiagnosis, further complicating the situation. In this study, a robust model is proposed that classifies the different subtypes of ALL. Our comprehensive diagnosis system achieved an accuracy of 97.85 % and demonstrated superior performance in comparison to other state-of-the-art approaches.",Training;Adaptation models;Computational modeling;Refining;Stem cells;Feature extraction;Reliability,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10549348,IEEE Conferences,,,,,,
An Improved Of Deep Convolutional Neural Network For Early Breast Cancer Detection,A. k. Mohammed Jawad Khudhur,"2024 International Congress on Human-Computer Interaction, Optimization and Robotic Applications (HORA)",12-Jun-24,2024,"Breast cancer is a huge global health challenge, ranking as the second-largest cause of mortality worldwide. Early identification is crucial for effective treatment and better survival rates. Various screening methods, including mammography, ultrasonography, and thermography, have been developed to aid in the early diagnosis of breast cancer. Leveraging image processing techniques and deep learning algorithms, radiologists can boost the accuracy of detecting breast problems. This paper suggests the use of an upgraded Deep Convolutional Neural Network (DCNN) for the early and accurate identification and diagnosis of breast cancer. Setting itself apart from earlier approaches, this work leverages a DCNN with 12 layered processing layers, leading to better detection and diagnosis accuracy. The Mini Mammographic Database (MIAS) serves as the dataset for testing the proposed system's performance. Results reveal that the Deep CNN achieves exceptional accuracy, reaching 99.1%. Furthermore, comparative analysis against related research demonstrates the advantages of the proposed DCNN-based technique. This research contributes to expanding the area of breast cancer diagnosis and emphasises the potential of deep learning to enhance diagnosis and improve.",Deep learning;Training;Databases;System performance;Ultrasonography;Breast cancer;Convolutional neural networks,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10550830,IEEE Conferences,,,,,,
GAN-Augmented Breast Cancer Classification with Histogram-Based Gradient Boosting,S. Kayikci; T. Khoshgoftaar,"2024 International Congress on Human-Computer Interaction, Optimization and Robotic Applications (HORA)",12-Jun-24,2024,"The main method for screening for breast cancer is mammography, which aims to lower the risk of breast cancer death by early detection. Deep learning techniques have been found to show good predictive results with many medical image datasets. Even so, extensive data augmentation approaches are necessary for accurate computer-assisted diagnosis due to the scarcity of annotated medical images. After being trained on photos, Generative Adversarial Networks (GANs) can produce new images that resemble real images and have a lot of genuine features. The realism and representativeness of the generated features can vary depending on the factors like quality of training data, training parameters, evaluation metrics, and application domain. We used a Histogram-Based Gradient Booster classifier to improve the traditional deep learning methods and encourage the use of GANs for data augmentation. When compared to the baseline, the results demonstrate that GANs increased recall without lowering precision and enhanced classification performance on the malignant class without sacrificing performance on the benign class.",Deep learning;Training;Measurement;Human computer interaction;Training data;Data augmentation;Breast cancer,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10550539,IEEE Conferences,,,,,,
Unravelling the Mysteries of Lung Cancer: Harnessing the Power of Deep Learning for Detection and Classification,M. Dhayalini; B. R. A. Ponmozhi,"2024 International Conference on Recent Advances in Electrical, Electronics, Ubiquitous Communication, and Computational Intelligence (RAEEUCCI)",12-Jun-24,2024,"Lung cancer is the leading cause of cancer- related death worldwide. Identifying lung nodules is essential in the early detection of lung cancer, which can progress to tumors. Computed tomography (CT) can help with the diagnosis of lung diseases. The primary goal is identifying malignant lung nodules and categorizing lung cancer as benign or malignant. Various image processing, biomarker-based, and machine-automated methods are used to detect lung cancer, but medical practitioners face challenges in achieving accuracy and early diagnosis. This work proposes a novel approach for early and accurate lung cancer diagnosis using the LeNet-5 algorithm. Initially, a median filter is used for preprocessing. Cancerous nodules in lung images were segmented using a hybrid fuzzy with a genetic algorithm (GA). The proposed LeNet-5 is implemented in MATLAB using the dataset obtained by the Lung Image Database Consortium and the Image Database Resource Initiative. Various performance parameters are compared and evaluated with existing algorithms and cutting-edge methods. The experimental outcomes demonstrate that the suggested algorithm has higher classification accuracy (99.2%) than other methods.",Image segmentation;Image databases;Computed tomography;Lung cancer;Lung;Filtering algorithms;Sensitivity and specificity,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10547834,IEEE Conferences,,,,,,
An Enhanced Architecture for Brain Tumor Segmentation with a Novel Hybrid NF-RCNN and Adam Optimizer,N. Lavanya; S. Nagasundaram,"2024 International Conference on Recent Advances in Electrical, Electronics, Ubiquitous Communication, and Computational Intelligence (RAEEUCCI)",12-Jun-24,2024,"Magnetic resonance imaging (MRI) of the brain for the purpose of manual tumor diagnosis is laborious and timeconsuming. A diagnostic by an expert is also necessary in every case. The need for accurate diagnosis and classification of brain tumors led to the development of several computer- controlled procedures. In order to segregate brain tumors, this research suggests a new filter. The approach used a hybrid model that included NasNet and FRCNN for segmentation of the brain tumor image, and it was optimized using Adam optimizer. For image filtering, SWT enhanced Median filter was utilized. Outperforming state-of-the-art approaches presented in literature, the suggested strategy shows promising outcomes. The proposed model segments brain tumor image with 92.19% accuracy on tumor region and 99.79% accuracy on background region.",Deep learning;Image segmentation;Magnetic resonance imaging;Manuals;Computer architecture;Filtering algorithms;Brain modeling,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10547725,IEEE Conferences,,,,,,
Transformative Advances in Cervical Cancer Diagnosis Leveraging Colposcopy Imaging with ViT,H. S; R. V R; G. G; J. P. D; M. K,"2024 International Conference on Recent Advances in Electrical, Electronics, Ubiquitous Communication, and Computational Intelligence (RAEEUCCI)",12-Jun-24,2024,"This project addresses the urgent need for early and precise detection of cervical cancer types and stages, leveraging Vision Transformer models in deep learning. Key objectives include model development, user interface creation, ethical compliance, and real-world validation. By integrating various imaging tests, it offers a comprehensive approach to detection. Automation enhances efficiency, prioritizing ethical considerations like patient privacy. Validation in clinical settings ensures safety and efficacy, contributing significantly to healthcare advancements. Its scalable framework and research contributions underscore its broad impact on cervical cancer detection. Ultimately, it aims to enhance diagnostic accuracy and patient outcomes, advancing AI in healthcare.",Ethics;Privacy;Image segmentation;Medical services;User interfaces;Transformers;Safety,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10547840,IEEE Conferences,,,,,,
Distinguishing Kidney Tumor Types Using Radiomics Features and Deep Features,R. Magherini; M. Servi; Y. Volpe; R. Campi; F. Buonamici,IEEE Access,20-Jun-24,2024,"Despite technological advances in diagnostic imaging, to distinguish the type of renal tumor without performing a biopsy is still an unsolved challenge. In particular, this is even more striking in the case of clear cell renal cell carcinoma and small oncocytomas. To tackle this problem, a fully automated tool is proposed that can provide decision support for physicians to distinguish between these two types of masses in the most critical cases. In this work three approaches for the development of this tool are implemented and compared, specifically two approaches are based on the use of radiomic features and one on the use of deep features. The nnU-net is exploited to achieve tumor segmentation necessary to obtain the different types of features. The architectures are trained and tested by combining two different datasets, the public dataset KiTS2019 and data from the Careggi University Hospital. The best method is able to obtain 73.77% balanced accuracy, 94.59% sensitivity, 52.94% specificity and 86.84% accuracy.",Tumors;Feature extraction;Radiomics;Computed tomography;Cancer;Deep learning;Classification algorithms;Kidney stones;Computer aided diagnosis;Deep learning,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10552759,IEEE Journals,,,,No,No,No
InsightBrain: CNN-Based Binary Classification of Brain Tumor Images,G. Sharma; V. Anand; R. Chauhan; H. S. Pokhariya; S. Gupta; G. Sunil,2024 2nd International Conference on Advancement in Computation & Computer Technologies (InCACCT),11-Jun-24,2024,"When a brain tumor is in its most advanced stages, it is considered a highly malignant medical condition with an adverse outcome. To improve patient survival rates and ensure proper medical attention, accurate diagnosis is essential. Computer-aided tumor detection systems, especially convolutional neural networks (CNNs), have shown encouraging outcomes in this field by utilizing deep learning developments. CNNs outperform traditional neural network architectures by extracting robust features automatically from input data. This paper presents a methodology for the binary classification of cerebral tumors using CNN architecture. Furthermore, MRI scans are subjected to data augmentation procedures to improve generalization, expand the size of the dataset, and reduce the likelihood of overfitting. The results demonstrate that the suggested CNN architecture produces the best classification accuracy, up to 97.29% along with an overall precision of 98% and recall of 97.85%. which helps in proving the effectiveness of CNN-based methods for recognizing and categorization of brain tumors in MRI scans. The medical field may find great use for this suggested architecture in helping to detect brain tumors early on. By streamlining the health evaluation procedure for patients, this technology might be put into use, which could lower the death rates linked to brain tumors.",Deep learning;Training;Magnetic resonance imaging;Computer architecture;Streaming media;Brain modeling;Feature extraction,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10551200,IEEE Conferences,,,,,,
Multi-Model CNN Approaches for Prediction of Brain Tumor Using MRI Images,U. Sakthi; V. Bhardwaj; N. K. Tripathi,2024 2nd International Conference on Advancement in Computation & Computer Technologies (InCACCT),11-Jun-24,2024,"This research paper focuses on its quickly and accurately diagnosis of brain tumors by using Convolutional Neural Networks (CNN) on MRI images. Because they can have serious consequences, brain tumors are a serious health risk that should be detected as soon as possible. The importance of early diagnosis drives this investigation of cutting-edge technological solutions, especially those that make use of AI and ML. In this work, the research uses the most recent deep learning models i.e. Convolutional Neural Networks (CNN) utilizing Residual Networks (ResNet50), Visual Geometry Group 16 (VGG16) and U â€“ Shaped Neural Network (U-Net) to accurately identify brain tumors, with an emphasis on anticipating their early stages of development. The proposed method aims to improve accuracy and enable early detection by building upon previous research on Magnetic Resonance Imaging (MRI) scans of brain tumor datasets. The suggested approach tends to boost accuracy and facilitate early detection as well by looking into prior MRI studies on brain tumor image datasets. Via integrating AI with medical imaging, this work is an important contribution to the ongoing process of developing an integrated approach to a resolution of the contemporary global health challenge. The recent research on brain tumor detection provides the ray of hope for the future, and it also emphasizes the need for an algorithm approach for better brain tumors management. From the built on a well-defined design VGG16 was the best among all different models, accuracy reached even to 96.6%. The constructive and unmatched accuracy of VGG16 shows the strength of AI and medical imaging, which will make it easier to use different measures to fight this conflict that is spreading all over the world.",Magnetic resonance imaging;Computational modeling;Predictive models;Brain modeling;Convolutional neural networks;Artificial intelligence;Biological neural networks,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10551204,IEEE Conferences,,,,,,
Brain Tumour Detection Using Deep Learning Techniques,S. Paul; B. K. Soni; B. Baranidharan,2024 2nd International Conference on Advancement in Computation & Computer Technologies (InCACCT),11-Jun-24,2024,"Brain tumor detection is one of the most crucial problems in medical imaging solving which machine learning and, recently, deep learning techniques have demonstrated promising outcomes. This article explores deep learning algorithms for brain tumor detection in the proposed work. For this, the pre-trained architectures such as CNNs EfficientNetB1, VGG16, ResNet50, Inception, and MobileNetV2 are employed. The well-curated dataset of approximately 3400 MRI images of four tumor classes is used to train and evaluate the model using the performance metrics precision, accuracy, F1 score, and recall. EfficientNetB1, which is characterized by the efficient scaling properties, shows results-based on high accuracy and efficiency of 97.72%, and an ensemble and combination with SCNN demonstrates results of 98% accuracy, which improves the work overall. The study also delves into interpretability, elucidating the fusion of features extracted by the ensemble model. Overall, the research highlights the efficacy of ensemble learning in medical diagnosis, showcasing the potential of combining DL techniques to advance healthcare applications and increase the precision of brain tumor detection.",Deep learning;Magnetic resonance imaging;Transfer learning;Computer architecture;Brain modeling;Feature extraction;Search problems,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10551009,IEEE Conferences,,,,,,
RM-DenseNet: An Enhanced DenseNet Framework with Residual Model for Breast Cancer Classification Using Mammographic Images,S. Kishore Khan; A. Kanamarlapudi; A. R. Singh,2024 2nd International Conference on Advancement in Computation & Computer Technologies (InCACCT),11-Jun-24,2024,"Breast cancer continues to be a significant health challenge and is the most common cancer in women, with millions of new cases diagnosed each year. Early diagnosis of breast cancer is crucial for improving treatment outcomes and survival rates. Traditional methods of interpretation heavily rely on human expertise, which is time-consuming and often leads to missed diagnoses or false positives. Researchers have developed deep-learning models to analyze mammograms and other medical images for early detection of breast cancer. The proposed model, which combines the DenseNet121 with a residual model (RM-DenseNet), aims to improve feature reuse and learning in deep networks, potentially leading to better performance in classifying breast cancer images. The effectiveness of preprocessing techniques, including Gaussian blur for denoising and horizontal flipping for data augmentation, enhances model robustness and generalization capabilities. This research uses a Dataset CBIS-DDSM, which contains digital mammography images and annotations for various abnormalities, including masses and calcifications. The proposed method is compared with state-of-the-art techniques such as AlexNet, VGG16, and ResNet50 and achieves a better accuracy of 96.50 %. The research outcomes show that the proposed framework can potentially improve patient outcomes and contribute to the advancement in the classification of breast cancer using mammographic Images.",Analytical models;Computational modeling;Noise reduction;Feature extraction;Breast cancer;Mammography;Robustness,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10551125,IEEE Conferences,,,,,,
Classification of Microglial cells using Deep learning techniques,P. Chitra; Y. B. Vedha; S. J. R. Samuel; R. Krishnaprasanna; S. Rohan; C. S. Nandha Kishore,2024 2nd International Conference on Advancement in Computation & Computer Technologies (InCACCT),11-Jun-24,2024,"Microglia are specialized immune cells found only in the Central Nervous System (CNS), with 1.5 trillion numbers of them identified across the spinal cord and brain. These cells display various characteristics depending on the signals they receive, ranging from beneficial to harmful, as evidenced by their movement and physical changes. Numerous neurological illnesses, including Parkinsonâ€™s and Alzheimerâ€™s disease, have been connected to changes in the inflammatory condition. Understanding the significance of microglial cells in disease progression and examining the feasibility of novel therapy methods in such situations. In this paper, a study is conducted on the microscopy image of microglial cells. Initially, the image is preprocessed using image processing algorithms, and the number of cells in the image is also automatically counted using the image processing algorithm. The preprocessed image is classified using Deep Learning Neural Network (DNN) to classify whether the cell is in a normal or activated state. The classifiers such as Resnet50, VGG16, VGG 19 and Xception are applied to the preprocessed image. The classifierâ€™s performance is assessed using evaluation parameters. The results are compared to choose the model with the highest accuracy. For this data the accuracy of VGG16 net achieved is 96% which is higher than other model considered.",Deep learning;Image segmentation;Thresholding (Imaging);Spinal cord;Soft sensors;Microscopy;Classification algorithms,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10551020,IEEE Conferences,,,,,,
VCCINet: A Multi-model Deep Learning Approach for Melanoma Skin Cancer Detection,K. Srivastava; A. Istwal; J. Kaur; P. Gambhir,2024 2nd International Conference on Advancement in Computation & Computer Technologies (InCACCT),11-Jun-24,2024,"Recent years have witnessed an increase in skin cancer cases globally, with 2â€“3 million non-melanoma skin cancers and 132,000 melanoma skin cancer cases occurring annually. Early detection is crucial for effective treatment, and deep learning techniques offer a promising avenue for diagnosis. However, several existing individual deep learning models used for skin cancer detection, such as Convolutional Neural Networks (CNN), Visual Geometry Group-based Neural Networks (VGG16), Capsule Networks (CapsNet), and InceptionV3 can often deliver suboptimal results on multiple testing parameters, affecting the modelâ€™s overall performance. Hence, this paper proposes a multi-model approach called VCCINet, which combines four deep-learning techniques (CNN, Feature Extracted VGG16, CapsNet, and InceptionV3) by ensemble learning, to help improve the performance of the individual models. It also introduces a further extension on the VCCINet model, called FT-VCCINet, by implementing feature extraction (on VGG16) and fine-tuning (on CapsNet and Inceptionv3) before using ensemble learning on the models and achieving a better result than all the individual models and VCCINet. The accuracy of VCCINet and FTVCCINet came out to be 93.18% and 93.02% respectively, which is significantly higher compared to individual model accuracies. Furthermore, the multi-model approach showed exponential improvements in other parameters such as Precision, Recall, F1Score, and Specificity.",Deep learning;Visualization;Computational modeling;Computer architecture;Melanoma;Predictive models;Feature extraction,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10551176,IEEE Conferences,,,,,,
Lung Opacity Classification in Chest X-Ray Images with a DenseNet201 Transfer Learning-Based Pre-Trained Convolutional Neural Network Model,M. Singla; K. S. Gill; K. Rajput; V. Singh,"2024 International Conference on Communication, Computing and Internet of Things (IC3IoT)",11-Jun-24,2024,"Using transfer learning, this study presents a new method for classifying lung opacity in chest X-ray pictures; the method centers on Keras and the DenseNet201 model. This paper examines the RSNA Pneumonia Detection Challenge dataset and its extensive preprocessing procedures, such as dataset overview, splitting, and balancing. Importantly, Keras has been modified to be DICOM compatible, which solves problems with processing chest X-ray pictures. The generated model is more resilient thanks to the deployment of basic data augmentation techniques, which increase the dataset. The study describes the pretrained DenseNet201 model in great detail, including the extra layers that were added to improve the modelâ€™s performance on the lung opacity classification task. A comprehensive examination of a model includes looking at its architecture, parameters, and performance indicators including F1-score, recall, and precision. Insights into test-time augmentation tactics are presented in the studyâ€™s conclusion, with an emphasis on the significance of making two predictions for each image to increase reliability. A 79% success rate in classifying lung opacity in chest X-ray pictures using a combination of transfer learning and Keras is a major step forward for medical imaging as a whole.",Pneumonia;Medical conditions;Computational modeling;Transfer learning;Lung;Telecommunication computing;Reliability,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10550393,IEEE Conferences,,,,,,
Revolutionizing Retinal Health: Transfer Learning for Early Detection of Pathologies in Limited OCT Image Datasets,K. Mittal; K. S. Gill; D. Upadhyay; S. Devliyal,"2024 International Conference on Communication, Computing and Internet of Things (IC3IoT)",11-Jun-24,2024,"The study effort focuses on the urgent need to diagnose retinal disorders at an early stage using revolutionary methods in medical image processing. The work demonstrates the effectiveness of transfer learning in the medical field by using a dataset of fewer than 1,000 retinal OCT pictures, despite the large number of about 30 million OCT scans performed each year. The dataset has been carefully compiled using a hierarchical grading method that involves undergraduate students, medical students, ophthalmologists, and senior retinal specialists. It consists of four categories: DME, CNV, NORMAL, and DRUSEN. The approach used involves the utilisation of a pre-trained ResNet18 Convolutional Neural Network. The main emphasis is on adjusting the final layer to precisely address the objective of classifying retinal disease. The study achieves an impressive level of precision, reaching 94%, highlighting the promise of transfer learning as a formidable method for effectively and accurately detecting retinal abnormalities at an early stage. This work not only makes a valuable contribution to the area of medical imaging, but also serves as a complete reference for newcomers in the subject who are interested in implementing Convolutional Neural Networks and transfer learning.",Pathology;Optical coherence tomography;Transfer learning;Propulsion;Retina;Telecommunication computing;Convolutional neural networks,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10550199,IEEE Conferences,,,,,,
Implementation of Convolutional Neural Network Malarial Cells Detection,K. Venkatesan; S. B. Rahayu; M. Muthulakshmi; V. P. Velkur,"2024 International Conference on Communication, Computing and Internet of Things (IC3IoT)",11-Jun-24,2024,"This paper proposes a Convolutional Neural Network (CNN) approach to analyze and detect the malarial parasite-infected blood smear cells. Malaria is a fatal illness solely transmits through the bites of infected female mosquitoes of Anopheles.. Recent studies show that in 2020, there were 241 million cases of malaria worldwide, which resulted in the death of nearly 6,27,000 people. The diagnostic process must be automated to avoid human participation during the automated diagnosis because a delayed or inaccurate diagnosis causes most of these deaths. To enhance diagnostic reliability, deep-learning technologies and CNN, such as medical image processing techniques, are employed to assess parasitemia in microscopic blood slides. In this research, we propose a supervised learning-based Visual Geometry Group (VGG-19) that performs accurate classification to detect malaria-infected cells. The dataset comprises 27,560 images of segmented blood cells, equally divided into parasitized (infected) and uninfected cells, which were utilized for VGG-19 architecture. The first step is to define the image processing methods that can be used to analyze the dataset for training the model. The next stage discusses the techniques for training deep neural networks and the data augmentation techniques used to increase the size of the dataset and enhance the modelâ€™s performance. Finally, the accuracy of classification outcomes is compared from deep CNN using the same datasets for the testing, training and validating phases. Our trained model uses blood smear samples to predict the presence of malarial-infected cells and achieves a 97% accuracy rate.",Training;Analytical models;Visualization;Malaria;Computational modeling;Cells (biology);Predictive models,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10550234,IEEE Conferences,,,,,,
MindSight: Revolutionizing Brain Tumor Diagnosis with Deep Learning,R. Gandham; K. R. Manambakam; N. Nannapaneni; M. K. Enduri; K. Hajarathaiah; S. Anamalamudi,2024 IEEE 13th International Conference on Communication Systems and Network Technologies (CSNT),11-Jun-24,2024,"Brain tumors, characterized by abnormal cell growth, pose a substantial health challenge with non-cancerous (benign) and cancerous (malignant) categories. India witnesses the diagnosis of approximately 40,000 fresh instances of brain tumors annually. The rarity and diversity of tumor types make predicting survival rates challenging. Efficient identification of cerebral abnormalities is essential for the timely and effective management of neurological conditions. Exploring the application of deep learning, this study investigates brain tumor detection using a curated dataset of Magnetic Resonance Images (MRI). Utilizing this dataset, brain tumor detection is advanced through the application of diverse models, including EfficientNetB3, ResNet50, MobileNetV3, and VGG16. The study prioritizes dataset preprocessing, emphasizing data augmentation. Diverse brain tumor images contribute to model training, incorporating transfer learning from pre-trained models on extensive datasets for discerning intricate patterns in medical images. Efficiency evaluation considers computational resources, training time, and complexity. Quantitative metrics F1 score, accuracy, recall, and precision are employed to gauge model performance in classifying the tumor and non-tumor regions. In the conducted study, VGG16 demonstrated the best performance compared to all other models.",Training;Deep learning;Measurement;Computational modeling;Magnetic resonance imaging;Transfer learning;Brain modeling,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10545790,IEEE Conferences,,,,,,
